"nLayers","nNodes","MSE"
8,31,82.62764358765
8,32,80.5356682503491
8,33,90.2512820516321
8,34,89.2923342953269
8,35,83.4505587390372
8,36,81.5190621976114
8,37,86.5572154165325
8,38,75.9904444296951
8,39,90.0516525700234
8,40,80.0846673149513
8,41,77.2618682637287
8,42,77.7400886267199
8,43,80.6553790783579
8,44,76.8025767164327
8,45,85.31609160627
8,46,95.5032184941231
8,47,79.776571528489
8,48,82.7361410801866
8,49,79.3872532159388
8,50,74.5318603922404
8,51,100.614228728383
8,52,88.7526418046909
8,53,77.8548401010809
8,54,89.7288175909392
8,55,80.4466359735397
8,56,89.8316979454188
8,57,77.0595799121187
8,58,85.2417651020035
8,59,78.7531451117078
8,60,79.9309921511225
9,1,79.9309921511225
9,2,79.9309921511225
9,3,159.403685235315
9,4,84.5959398190244
9,5,121.799190760768
9,6,116.337501925773
9,7,75.7749779752322
9,8,83.8961396898406
9,9,76.6264905009348
9,10,94.0408088944036
9,11,78.8843994700331
9,12,101.076097878548
9,13,76.5844122300644
9,14,79.4473323913315
9,15,86.3339221228233
9,16,85.6696509309329
9,17,89.8037822451272
9,18,92.8709179536682
9,19,106.435071993602
9,20,90.390914624301
9,21,84.9314130996214
9,22,77.1239810106555
9,23,91.8647398256427
9,24,87.9693351815354
9,25,79.6387245113965
9,26,78.182883804028
9,27,80.679914931362
9,28,94.762602027788
9,29,97.5326546867456
9,30,91.2751126719097
9,31,87.2202167693167
9,32,78.5239879353984
9,33,77.9941603726869
9,34,79.9043381209282
9,35,94.4276759437522
9,36,77.6893851883905
9,37,81.8267860129351
9,38,76.2747044897699
9,39,83.3964839944482
9,40,79.4513673004726
9,41,81.2995167339193
9,42,82.2740261408742
9,43,75.1417076728874
9,44,81.3130836887088
9,45,85.4262103361663
9,46,86.1042656788273
9,47,78.8064301744312
9,48,85.1892639379682
9,49,78.9641854882662
9,50,75.8773775038048
9,51,80.6563216455464
9,52,93.2466192290337
9,53,74.8222222403312
9,54,75.2217909191044
9,55,79.3642691852978
9,56,82.9046538328273
9,57,96.5804726126892
9,58,80.4949498175518
9,59,77.9838188607483
9,60,75.7482227607875
10,1,75.7482227607875
10,2,75.7482227607875
10,3,75.7482227607875
10,4,75.7482227607875
10,5,74.2607692587841
10,6,97.1291473288382
10,7,100.605267086219
10,8,77.080255962555
10,9,90.0816499452115
10,10,84.3834733054204
10,11,77.722604796339
10,12,80.1444924620734
10,13,90.6530037895847
10,14,98.8359869539443
10,15,101.96401696814
10,16,105.368081046624
10,17,89.6423248576199
10,18,96.403269389852
10,19,79.7957180139093
10,20,101.063366415434
10,21,100.645547398905
10,22,83.3560243775027
10,23,90.9482936856186
10,24,84.9040412860567
10,25,90.0102636643644
10,26,95.7322453920165
10,27,84.743544205547
10,28,91.2855282288729
10,29,80.9523826826943
10,30,97.3004141704103
10,31,86.8443864199836
10,32,77.6956802669258
10,33,106.615824021846
10,34,76.4080054637962
10,35,92.0794862170731
10,36,93.9363701719404
10,37,83.4627083727441
10,38,76.0376591735263
10,39,94.5840747683952
10,40,82.5913306439412
10,41,107.029619298425
10,42,76.3567651314637
10,43,76.2847428515247
10,44,86.0619357145805
10,45,115.500275991618
10,46,82.4603822456936
10,47,95.3476585592958
10,48,88.0997476010163
10,49,90.6184325682396
10,50,88.4276946444689
10,51,77.5786375225656
10,52,99.6335453198983
10,53,76.2223825983066
10,54,82.346861110928
10,55,87.0543590882702
10,56,75.9678760504493
10,57,77.7086076080286
10,58,78.1064553813056
10,59,84.4139473101743
10,60,80.3145235285702
11,1,80.3145235285702
11,2,80.3145235285702
11,3,80.3145235285702
11,4,126.778252776172
11,5,107.829095888412
11,6,87.8955703594238
11,7,84.4471113857573
11,8,81.4566135798375
11,9,102.194245696856
11,10,95.5986119803605
11,11,93.5256854577967
11,12,85.1500002905472
11,13,91.2425854554616
11,14,84.0035064189723
11,15,96.1599786815613
11,16,96.7745444392763
11,17,84.5038119889933
11,18,102.042234288184
11,19,77.4394002368405
11,20,76.0007875792096
11,21,102.127357537501
11,22,80.2735856601433
11,23,83.6327270600388
11,24,78.4188327828811
11,25,79.1607087843464
11,26,96.3616075833492
11,27,96.6154425160978
11,28,76.2045423044516
11,29,77.4824688874249
11,30,99.9378896441976
11,31,79.0518209676988
11,32,105.726445790504
11,33,78.7888365444354
11,34,82.2391994531839
11,35,92.0040773601149
11,36,86.6871307383477
11,37,78.8878970022682
11,38,89.2969346411383
11,39,82.1793814012723
11,40,76.6870517485793
11,41,78.4140463733108
11,42,87.1724261215985
11,43,97.0342041364296
11,44,81.4044231757337
11,45,90.0125437094351
11,46,100.331502750129
11,47,85.4235358849782
11,48,79.4774281955236
11,49,93.7397249404757
11,50,80.3059395466135
11,51,80.5487439759569
11,52,82.9392219372957
11,53,98.6692054979255
11,54,80.1669030128491
11,55,96.4337500385689
11,56,77.7554653106928
11,57,96.4889369178105
11,58,78.7431420914157
11,59,83.3905727327033
11,60,88.1110824523824
12,1,88.1110824523824
12,2,88.1110824523824
12,3,88.1110824523824
12,4,88.1110824523824
12,5,88.1110824523824
12,6,80.0691276469197
12,7,80.1406806944821
12,8,87.3103935869478
12,9,77.5377594881944
12,10,86.7314983827671
12,11,88.6983283405878
12,12,89.0803918063328
12,13,83.7125198483303
12,14,76.9349949373495
12,15,92.9279491765508
12,16,82.5991186760624
12,17,83.6789188224694
12,18,102.998585858673
12,19,93.7016360523361
12,20,81.3823101252642
12,21,91.2842934649502
12,22,86.7489217766002
12,23,75.1770678423315
12,24,92.8596306803509
12,25,114.376766924839
12,26,78.0276199357747
12,27,80.7557737703684
12,28,88.6229652374736
12,29,103.415880259747
12,30,81.6426416031908
12,31,78.0411699559801
12,32,88.8382471798892
12,33,77.6153150928726
12,34,77.9988743439904
12,35,79.0140363293569
12,36,89.122585604703
12,37,84.4481902527432
12,38,73.841734040501
12,39,103.719936050794
12,40,88.4339995811852
12,41,77.9555724210058
12,42,85.272453540751
12,43,83.1229555189265
12,44,91.3316169338916
12,45,79.9511636980371
12,46,78.5084689928765
12,47,87.1397611254766
12,48,78.5009519309034
12,49,76.6757005565761
12,50,109.059892273081
12,51,82.2002834395759
12,52,112.597434761248
12,53,93.3550686112486
12,54,80.1632022152819
12,55,113.086526425062
12,56,83.2323040062242
12,57,92.1927270103757
12,58,85.7898735433302
12,59,87.1866223323488
12,60,105.128021842805
13,1,105.128021842805
13,2,105.128021842805
13,3,105.128021842805
13,4,85.2478883295787
13,5,107.359573886517
13,6,148.041034528886
13,7,78.407277241789
13,8,88.1017102681644
